Date,Stock,Close
,,M&M.NS
2015-01-01,M&M.NS,558.096923828125
2015-01-02,M&M.NS,552.5027465820312
2015-01-05,M&M.NS,549.7056274414062
2015-01-06,M&M.NS,546.6376342773438
2015-01-07,M&M.NS,552.277099609375
2015-01-08,M&M.NS,558.3450927734375
2015-01-09,M&M.NS,558.6157836914062
2015-01-12,M&M.NS,556.2697143554688
2015-01-13,M&M.NS,563.3980712890625
2015-01-14,M&M.NS,558.0518188476562
2015-01-15,M&M.NS,576.6167602539062
2015-01-16,M&M.NS,588.5722045898438
2015-01-19,M&M.NS,601.0239868164062
2015-01-20,M&M.NS,597.8885498046875
2015-01-21,M&M.NS,597.7982788085938
2015-01-22,M&M.NS,600.0089721679688
2015-01-23,M&M.NS,614.4232177734375
2015-01-27,M&M.NS,597.5276489257812
2015-01-28,M&M.NS,593.850830078125
2015-01-29,M&M.NS,585.0532836914062
2015-01-30,M&M.NS,570.751708984375
2015-02-02,M&M.NS,559.96923828125
2015-02-03,M&M.NS,541.0209350585938
2015-02-04,M&M.NS,546.3218994140625
2015-02-05,M&M.NS,532.223388671875
2015-02-06,M&M.NS,518.71142578125
2015-02-09,M&M.NS,502.31207275390625
2015-02-10,M&M.NS,514.4029541015625
2015-02-11,M&M.NS,511.3352355957031
2015-02-12,M&M.NS,511.8087463378906
2015-02-13,M&M.NS,538.020751953125
2015-02-16,M&M.NS,546.0962524414062
2015-02-18,M&M.NS,554.1043090820312
2015-02-19,M&M.NS,563.894287109375
2015-02-20,M&M.NS,564.8416748046875
2015-02-23,M&M.NS,569.0148315429688
2015-02-24,M&M.NS,567.8642578125
2015-02-25,M&M.NS,571.654052734375
2015-02-26,M&M.NS,563.7589111328125
2015-02-27,M&M.NS,577.699462890625
2015-03-02,M&M.NS,576.6392822265625
2015-03-03,M&M.NS,555.6608276367188
2015-03-04,M&M.NS,546.3895874023438
2015-03-05,M&M.NS,554.3073120117188
2015-03-09,M&M.NS,544.4496459960938
2015-03-10,M&M.NS,554.1268310546875
2015-03-11,M&M.NS,568.586181640625
2015-03-12,M&M.NS,559.9467163085938
2015-03-13,M&M.NS,553.9012451171875
2015-03-16,M&M.NS,550.2920532226562
2015-03-17,M&M.NS,555.9313354492188
2015-03-18,M&M.NS,548.3745727539062
2015-03-19,M&M.NS,544.7202758789062
2015-03-20,M&M.NS,525.7268676757812
2015-03-23,M&M.NS,534.8399658203125
2015-03-24,M&M.NS,537.7952880859375
2015-03-25,M&M.NS,546.05126953125
2015-03-26,M&M.NS,541.8779907226562
2015-03-27,M&M.NS,536.193603515625
2015-03-30,M&M.NS,541.51708984375
2015-03-31,M&M.NS,535.8778076171875
2015-04-01,M&M.NS,542.3292236328125
2015-04-06,M&M.NS,560.6234130859375
2015-04-07,M&M.NS,572.4435424804688
2015-04-08,M&M.NS,574.8572387695312
2015-04-09,M&M.NS,575.0150756835938
2015-04-10,M&M.NS,580.5191040039062
2015-04-13,M&M.NS,562.9468383789062
2015-04-15,M&M.NS,545.3970947265625
2015-04-16,M&M.NS,554.2395629882812
2015-04-17,M&M.NS,552.4351196289062
2015-04-20,M&M.NS,535.8324584960938
2015-04-21,M&M.NS,537.0732421875
2015-04-22,M&M.NS,547.2241821289062
2015-04-23,M&M.NS,540.8629150390625
2015-04-24,M&M.NS,528.794677734375
2015-04-27,M&M.NS,526.0200805664062
2015-04-28,M&M.NS,533.3512573242188
2015-04-29,M&M.NS,529.0428466796875
2015-04-30,M&M.NS,516.5684814453125
2015-05-04,M&M.NS,542.509521484375
2015-05-05,M&M.NS,532.0203247070312
2015-05-06,M&M.NS,524.7569580078125
2015-05-07,M&M.NS,528.1856079101562
2015-05-08,M&M.NS,532.5166015625
2015-05-11,M&M.NS,538.7877197265625
2015-05-12,M&M.NS,531.0504150390625
2015-05-13,M&M.NS,544.4948120117188
2015-05-14,M&M.NS,553.6305541992188
2015-05-15,M&M.NS,563.5108032226562
2015-05-18,M&M.NS,570.0975341796875
2015-05-19,M&M.NS,565.6763305664062
2015-05-20,M&M.NS,564.2777099609375
2015-05-21,M&M.NS,563.4656372070312
2015-05-22,M&M.NS,566.4884033203125
2015-05-25,M&M.NS,568.40576171875
2015-05-26,M&M.NS,569.826904296875
2015-05-27,M&M.NS,551.6680297851562
2015-05-28,M&M.NS,540.5472412109375
2015-05-29,M&M.NS,567.5936889648438
2015-06-01,M&M.NS,567.5936889648438
2015-06-02,M&M.NS,552.4801635742188
2015-06-03,M&M.NS,543.5698852539062
2015-06-04,M&M.NS,539.3966674804688
2015-06-05,M&M.NS,544.02099609375
2015-06-08,M&M.NS,544.2691650390625
2015-06-09,M&M.NS,543.7277221679688
2015-06-10,M&M.NS,550.63037109375
2015-06-11,M&M.NS,535.7875366210938
2015-06-12,M&M.NS,538.2010498046875
2015-06-15,M&M.NS,550.5402221679688
2015-06-16,M&M.NS,556.2471313476562
2015-06-17,M&M.NS,565.541015625
2015-06-18,M&M.NS,565.7213745117188
2015-06-19,M&M.NS,589.0008544921875
2015-06-22,M&M.NS,591.9108276367188
2015-06-23,M&M.NS,602.783447265625
2015-06-24,M&M.NS,587.55712890625
2015-06-25,M&M.NS,586.40673828125
2015-06-26,M&M.NS,588.3466796875
2015-06-29,M&M.NS,579.3461303710938
2015-06-30,M&M.NS,578.5341186523438
2015-07-01,M&M.NS,581.0830688476562
2015-07-02,M&M.NS,592.56494140625
2015-07-03,M&M.NS,592.2041015625
2015-07-06,M&M.NS,596.3095092773438
2015-07-07,M&M.NS,594.5274658203125
2015-07-08,M&M.NS,577.0905151367188
2015-07-09,M&M.NS,570.2554321289062
2015-07-10,M&M.NS,563.7362670898438
2015-07-13,M&M.NS,571.879638671875
2015-07-14,M&M.NS,572.9398193359375
2015-07-15,M&M.NS,581.0830688476562
2015-07-16,M&M.NS,581.47021484375
2015-07-17,M&M.NS,590.4642944335938
2015-07-20,M&M.NS,598.5702514648438
2015-07-21,M&M.NS,591.375
2015-07-22,M&M.NS,611.2529296875
2015-07-23,M&M.NS,618.8352661132812
2015-07-24,M&M.NS,605.5377807617188
2015-07-27,M&M.NS,599.276123046875
2015-07-28,M&M.NS,598.3880615234375
2015-07-29,M&M.NS,599.0938720703125
2015-07-30,M&M.NS,600.095703125
2015-07-31,M&M.NS,620.9756469726562
2015-08-03,M&M.NS,609.2719116210938
2015-08-04,M&M.NS,621.2944946289062
2015-08-05,M&M.NS,631.5635986328125
2015-08-06,M&M.NS,636.2997436523438
2015-08-07,M&M.NS,633.134765625
2015-08-10,M&M.NS,619.199462890625
2015-08-11,M&M.NS,610.0234375
2015-08-12,M&M.NS,591.7392578125
2015-08-13,M&M.NS,610.0462036132812
2015-08-14,M&M.NS,627.6016235351562
2015-08-17,M&M.NS,615.2604370117188
2015-08-18,M&M.NS,621.5903930664062
2015-08-19,M&M.NS,621.9093017578125
2015-08-20,M&M.NS,607.8375244140625
2015-08-21,M&M.NS,602.1449584960938
2015-08-24,M&M.NS,566.1689453125
2015-08-25,M&M.NS,569.6754150390625
2015-08-26,M&M.NS,553.5316772460938
2015-08-27,M&M.NS,560.22607421875
2015-08-28,M&M.NS,561.933837890625
2015-08-31,M&M.NS,555.990966796875
2015-09-01,M&M.NS,536.0901489257812
2015-09-02,M&M.NS,516.6675415039062
2015-09-03,M&M.NS,519.4454956054688
2015-09-04,M&M.NS,505.7608642578125
2015-09-07,M&M.NS,505.89752197265625
2015-09-08,M&M.NS,521.8362426757812
2015-09-09,M&M.NS,533.0845947265625
2015-09-10,M&M.NS,532.8568115234375
2015-09-11,M&M.NS,531.2174682617188
2015-09-14,M&M.NS,534.0636596679688
2015-09-15,M&M.NS,524.5687255859375
2015-09-16,M&M.NS,531.877685546875
2015-09-18,M&M.NS,546.131591796875
2015-09-21,M&M.NS,539.7789306640625
2015-09-22,M&M.NS,540.735107421875
2015-09-23,M&M.NS,550.2301025390625
2015-09-24,M&M.NS,556.0363159179688
2015-09-28,M&M.NS,556.3096313476562
2015-09-29,M&M.NS,569.106201171875
2015-09-30,M&M.NS,575.5272827148438
2015-10-01,M&M.NS,569.2656860351562
2015-10-05,M&M.NS,578.6695556640625
2015-10-06,M&M.NS,575.7322387695312
2015-10-07,M&M.NS,586.4794921875
2015-10-08,M&M.NS,579.5574951171875
2015-10-09,M&M.NS,579.8764038085938
2015-10-12,M&M.NS,580.5821533203125
2015-10-13,M&M.NS,584.2481079101562
2015-10-14,M&M.NS,586.5933837890625
2015-10-15,M&M.NS,580.5594482421875
2015-10-16,M&M.NS,586.9349975585938
2015-10-19,M&M.NS,583.4739990234375
2015-10-20,M&M.NS,569.5388793945312
2015-10-21,M&M.NS,572.271240234375
2015-10-23,M&M.NS,567.7171630859375
2015-10-26,M&M.NS,567.1025390625
2015-10-27,M&M.NS,569.2656860351562
2015-10-28,M&M.NS,558.7232055664062
2015-10-29,M&M.NS,559.1331176757812
2015-10-30,M&M.NS,539.0045776367188
2015-11-02,M&M.NS,550.50341796875
2015-11-03,M&M.NS,561.4783935546875
2015-11-04,M&M.NS,571.2011108398438
2015-11-05,M&M.NS,573.6829223632812
2015-11-06,M&M.NS,569.0379638671875
2015-11-09,M&M.NS,568.8330688476562
2015-11-10,M&M.NS,574.320556640625
2015-11-13,M&M.NS,569.8803100585938
2015-11-16,M&M.NS,581.9482421875
2015-11-17,M&M.NS,586.9121704101562
2015-11-18,M&M.NS,582.1305541992188
2015-11-19,M&M.NS,588.4149169921875
2015-11-20,M&M.NS,598.957275390625
2015-11-23,M&M.NS,602.7142944335938
2015-11-24,M&M.NS,600.91552734375
2015-11-26,M&M.NS,613.0745849609375
2015-11-27,M&M.NS,615.3287353515625
2015-11-30,M&M.NS,621.8408813476562
2015-12-01,M&M.NS,623.3892211914062
2015-12-02,M&M.NS,624.0950927734375
2015-12-03,M&M.NS,612.8240966796875
2015-12-04,M&M.NS,598.9800415039062
2015-12-07,M&M.NS,602.8053588867188
2015-12-08,M&M.NS,598.5018920898438
2015-12-09,M&M.NS,597.5228271484375
2015-12-10,M&M.NS,587.7774047851562
2015-12-11,M&M.NS,574.6620483398438
2015-12-14,M&M.NS,585.090576171875
2015-12-15,M&M.NS,587.026123046875
2015-12-16,M&M.NS,554.6929931640625
2015-12-17,M&M.NS,568.1270751953125
2015-12-18,M&M.NS,566.1917114257812
2015-12-21,M&M.NS,582.3809814453125
2015-12-22,M&M.NS,572.2257080078125
2015-12-23,M&M.NS,570.0853881835938
2015-12-24,M&M.NS,572.7721557617188
2015-12-28,M&M.NS,568.9696044921875
2015-12-29,M&M.NS,575.8916015625
2015-12-30,M&M.NS,575.1629028320312
2015-12-31,M&M.NS,579.4209594726562
2016-01-01,M&M.NS,576.2330932617188
2016-01-04,M&M.NS,565.8273315429688
2016-01-05,M&M.NS,568.8785400390625
2016-01-06,M&M.NS,558.3817749023438
2016-01-07,M&M.NS,545.3118896484375
2016-01-08,M&M.NS,545.5623779296875
2016-01-11,M&M.NS,529.4413452148438
2016-01-12,M&M.NS,538.23046875
2016-01-13,M&M.NS,548.7728881835938
2016-01-14,M&M.NS,541.2588500976562
2016-01-15,M&M.NS,536.0901489257812
2016-01-18,M&M.NS,530.8303833007812
2016-01-19,M&M.NS,524.8418579101562
2016-01-20,M&M.NS,524.0450439453125
2016-01-21,M&M.NS,518.5574340820312
2016-01-22,M&M.NS,545.97216796875
2016-01-25,M&M.NS,536.591064453125
2016-01-27,M&M.NS,535.8624877929688
2016-01-28,M&M.NS,548.3629760742188
2016-01-29,M&M.NS,561.614990234375
2016-02-01,M&M.NS,558.4728393554688
2016-02-02,M&M.NS,549.50146484375
2016-02-03,M&M.NS,547.8392333984375
2016-02-04,M&M.NS,548.5225219726562
2016-02-05,M&M.NS,555.3533935546875
2016-02-08,M&M.NS,547.2700805664062
2016-02-09,M&M.NS,538.8225708007812
2016-02-10,M&M.NS,538.41259765625
2016-02-11,M&M.NS,513.0472412109375
2016-02-12,M&M.NS,530.648193359375
2016-02-15,M&M.NS,558.677734375
2016-02-16,M&M.NS,549.2283325195312
2016-02-17,M&M.NS,546.6552734375
2016-02-18,M&M.NS,552.6665649414062
2016-02-19,M&M.NS,560.2489013671875
